,电影,票房占比,综合票房,场均人次,排片占比,上座率
1277,可爱的你,0.6%,68.94,10,1.3%,16.4%
1278,狼图腾,0.5%,61.40,19,0.5%,33.2%
1279,菜鸟,0.3%,43.38,5,2.0%,8.2%
1280,第七谎言,0.3%,37.70,3,2.2%,4.0%
1281,封门诡影,0.2%,29.61,5,1.3%,11.1%
1282,澳门风云2,0.2%,24.17,10,0.4%,18.5%
1283,木星上行,0.2%,23.08,7,0.5%,17.1%
1284,熊出没之雪岭熊风,<0.1%,7.21,10,0.1%,24.8%
1285,天将雄师,<0.1%,6.79,13,<0.1%,15.5%
1286,将错就错,<0.1%,5.75,4,0.2%,17.7%
1287,通道转兵,<0.1%,2.19,--,<0.1%,--
1288,王牌特工：特工学院,57.4%,2627.63,21,29.8%,17.4%
1289,失孤,10.1%,463.91,7,16.1%,8.3%
1290,灰姑娘,9.2%,422.47,7,14.6%,8.1%
1291,飓风营救3,8.8%,405.83,6,14.0%,6.6%
1292,一万年以后,5.2%,239.11,5,9.9%,6.4%
1293,超能陆战队,3.1%,145.92,7,4.9%,8.0%
1294,兔侠之青黎传说,1.6%,74.22,55,<0.1%,100%
1295,可爱的你,0.7%,35.49,5,1.5%,8.0%
1296,狼图腾,0.6%,31.55,10,0.6%,18.0%
1297,第七谎言,0.4%,19.48,2,2.1%,2.7%
1298,封门诡影,0.4%,19.01,3,1.4%,6.9%
1299,咱们结婚吧,0.4%,18.40,--,<0.1%,--
1300,帕丁顿熊,0.3%,14.23,4,0.8%,5.6%
1301,澳门风云2,0.2%,12.99,5,0.5%,9.3%
1302,菜鸟,0.2%,10.38,1,2.0%,1.7%
1303,木星上行,0.2%,10.14,3,0.6%,7.7%
1304,天将雄师,0.1%,5.36,11,0.1%,16.1%
1305,战狼,<0.1%,3.66,89,<0.1%,100%
1306,将错就错,<0.1%,3.28,2,0.3%,9.0%
1307,暴疯语,<0.1%,2.84,140,<0.1%,34.2%
1308,王牌特工：特工学院,58.8%,2655.87,21,31.2%,20.0%
1309,失孤,10.2%,461.91,7,16.6%,9.6%
1310,灰姑娘,9.9%,447.47,8,15.8%,11.0%
1311,飓风营救3,9.7%,439.14,7,14.8%,8.7%
1312,一万年以后,5.1%,232.39,5,10.1%,6.7%
1313,兔侠之青黎传说,1.1%,53.07,50,<0.1%,100%
1314,可爱的你,0.9%,44.79,6,1.8%,9.4%
1315,狼图腾,0.7%,35.83,10,0.6%,18.2%
1316,帕丁顿熊,0.5%,24.79,6,1.1%,8.4%
1317,封门诡影,0.4%,21.30,3,1.6%,7.3%
1318,第七谎言,0.4%,18.33,2,2.0%,2.7%
1319,澳门风云2,0.3%,16.28,6,0.5%,10.3%
1320,木星上行,0.3%,16.12,4,0.7%,9.4%
1321,菜鸟,0.2%,10.15,1,1.9%,1.7%
1322,咱们结婚吧,0.1%,8.12,147,<0.1%,100%
1323,天将雄师,0.1%,6.25,11,0.1%,15.0%
1324,战狼,0.1%,5.39,167,<0.1%,--
1325,将错就错,<0.1%,4.00,3,0.3%,13.8%
1326,摩尔庄园3：魔幻列车大冒险,<0.1%,2.81,238,<0.1%,100%
1327,扑通扑通我的人生,<0.1%,1.38,2,0.1%,10.8%
1328,王牌特工：特工学院,57.9%,2351.76,18,30.2%,18.8%
1329,失孤,9.5%,387.81,6,16.2%,8.7%
1330,飓风营救3,9.4%,383.83,6,14.4%,7.7%
1331,灰姑娘,9.1%,372.88,6,15.1%,8.9%
1332,一万年以后,4.8%,197.13,5,10.0%,6.9%
1333,战狼,2.3%,94.23,46,0.4%,100%
1334,兔侠之青黎传说,1.6%,65.23,58,0.1%,100%
1335,可爱的你,0.9%,39.03,5,1.9%,8.6%
1336,咱们结婚吧,0.7%,31.35,21,0.3%,100%
1337,封门诡影,0.5%,21.37,4,1.6%,8.9%
1338,帕丁顿熊,0.5%,21.06,5,1.1%,7.9%
1339,澳门风云2,0.3%,15.78,5,0.6%,9.5%
1340,第七谎言,0.3%,15.63,2,2.8%,3.0%
1341,木星上行,0.3%,13.66,4,0.8%,9.4%
1342,菜鸟,0.2%,11.06,2,1.9%,3.1%
1343,狼图腾,0.1%,7.91,9,0.1%,14.3%
1344,天将雄师,0.1%,7.06,14,0.1%,24.1%
1345,冲锋车,0.1%,4.34,169,<0.1%,81.4%
1346,将错就错,<0.1%,3.62,3,0.4%,13.5%
1347,通道转兵,<0.1%,3.03,129,<0.1%,--
1348,爸爸的假期,<0.1%,2.37,41,<0.1%,72.1%
1349,摩尔庄园3：魔幻列车大冒险,<0.1%,2.33,176,<0.1%,100%
1350,战狼,43.6%,3726.61,28,29.3%,30.8%
1351,咱们结婚吧,32.0%,2735.66,21,28.6%,23.1%
1352,王牌特工：特工学院,18.2%,1555.80,18,18.4%,20.4%
1353,灰姑娘,1.7%,150.07,6,5.8%,9.7%
1354,失孤,1.1%,96.20,4,5.8%,6.6%
1355,飓风营救3,1.0%,92.87,5,4.4%,7.0%
1356,兔侠之青黎传说,0.9%,78.77,60,0.2%,100%
1357,一万年以后,0.4%,35.26,3,2.7%,5.5%
1358,帕丁顿熊,0.1%,9.85,7,0.4%,14.1%
1359,可爱的你,<0.1%,8.45,5,0.4%,10.5%
1360,封门诡影,<0.1%,7.05,2,0.9%,7.1%
1361,狼图腾,<0.1%,5.16,9,0.1%,16.6%
1362,暴疯语,<0.1%,5.07,8,0.1%,71.0%
1363,冲锋车,<0.1%,3.20,10,<0.1%,100%
1364,我们结婚吧,<0.1%,2.72,23,<0.1%,--
1365,天将雄师,<0.1%,2.67,17,<0.1%,29.9%
1366,摩尔庄园3：魔幻列车大冒险,<0.1%,2.65,165,<0.1%,100%
1367,天河,<0.1%,2.57,75,<0.1%,100%
1368,澳门风云2,<0.1%,2.56,4,0.1%,7.0%
