,电影,票房占比,综合票房,场均人次,排片占比,上座率
467,甜蜜蜜,2.0%,118.76,6,4.1%,7.8%
468,神探驾到,1.3%,78.08,9,1.8%,11.7%
469,坚不可摧,0.5%,34.54,18,0.3%,23.9%
470,智取威虎山,0.4%,29.01,33,0.1%,30.8%
471,深海挑战,0.4%,25.79,7,0.7%,8.0%
472,摩尔庄园3：魔幻列车大冒险,0.4%,24.19,6,0.8%,10.3%
473,蜡笔总动员,0.3%,19.44,6,0.8%,9.2%
474,新年行动,0.3%,19.00,4,1.1%,6.3%
475,我只要我们在一起,0.3%,17.70,2,2.0%,3.1%
476,死亡之谜,0.1%,6.50,4,0.3%,7.8%
477,重返20岁,<0.1%,4.03,14,<0.1%,21.9%
478,有一个地方只有我们知道,27.6%,1447.28,12,30.5%,10.5%
479,饥饿游戏3：嘲笑鸟（上）,19.3%,1013.65,11,19.2%,9.8%
480,熊出没之雪岭熊风,12.2%,640.70,14,9.6%,17.7%
481,霍比特人3：五军之战,10.0%,524.23,18,5.3%,19.7%
482,狼图腾,6.8%,360.27,56,0.8%,28.7%
483,奔跑吧！兄弟,6.3%,332.30,10,7.8%,14.1%
484,有种你爱我,4.3%,227.28,9,6.0%,15.2%
485,一路惊喜,4.3%,225.60,10,5.2%,16.6%
486,喜羊羊与灰太狼之羊年喜羊羊,2.4%,127.75,11,2.9%,15.5%
487,甜蜜蜜,2.0%,104.87,6,3.8%,7.8%
488,神探驾到,1.3%,71.37,9,1.8%,11.3%
489,智取威虎山,0.5%,30.04,35,0.1%,32.5%
490,坚不可摧,0.5%,27.03,15,0.3%,19.9%
491,深海挑战,0.4%,25.73,7,0.7%,7.6%
492,摩尔庄园3：魔幻列车大冒险,0.4%,22.41,5,0.9%,8.5%
493,新年行动,0.3%,17.88,4,1.1%,6.2%
494,蜡笔总动员,0.3%,16.40,5,0.8%,7.7%
495,我只要我们在一起,0.2%,12.84,2,1.8%,3.1%
496,死亡之谜,<0.1%,4.51,3,0.3%,5.8%
497,重返20岁,<0.1%,4.00,14,<0.1%,21.5%
498,有一个地方只有我们知道,20.3%,423.60,7,29.2%,5.8%
499,熊出没之雪岭熊风,13.8%,287.89,11,12.8%,12.3%
500,饥饿游戏3：嘲笑鸟（上）,13.6%,282.79,7,18.8%,5.8%
501,霍比特人3：五军之战,7.5%,157.30,12,5.3%,12.1%
502,澳门风云2,6.9%,144.44,68,0.1%,100%
503,奔跑吧！兄弟,6.6%,138.16,8,8.6%,10.1%
504,狼图腾,5.0%,105.09,28,1.0%,14.9%
505,天将雄师,3.9%,82.12,43,0.1%,100%
506,一路惊喜,3.4%,71.95,7,5.0%,10.8%
507,冲上云霄,3.3%,70.57,57,<0.1%,100%
508,喜羊羊与灰太狼之羊年喜羊羊,3.1%,64.80,9,4.0%,11.2%
509,有种你爱我,2.9%,61.73,6,5.6%,9.2%
510,钟馗伏魔：雪妖魔灵,2.4%,50.13,37,0.1%,100%
511,神探驾到,1.7%,35.99,7,2.5%,7.4%
512,智取威虎山,1.4%,30.85,56,0.1%,45.4%
513,甜蜜蜜,1.0%,22.01,3,3.0%,3.5%
514,摩尔庄园3：魔幻列车大冒险,0.4%,9.73,5,0.9%,6.8%
515,坚不可摧,0.3%,7.06,8,0.3%,10.1%
516,蜡笔总动员,0.3%,6.24,4,0.9%,5.1%
517,深海挑战,0.2%,6.17,5,0.5%,4.9%
518,天将雄师,32.3%,11871.25,76,25.8%,60.3%
519,澳门风云2,17.3%,6360.81,67,15.4%,71.3%
520,钟馗伏魔：雪妖魔灵,17.1%,6296.89,63,15.9%,69.7%
521,爸爸去哪儿2,11.9%,4397.35,61,14.1%,73.1%
522,狼图腾,8.9%,3278.45,54,9.5%,58.0%
523,冲上云霄,6.2%,2295.35,49,8.4%,63.5%
524,爸爸的假期,5.1%,1900.91,47,7.5%,60.6%
525,熊出没之雪岭熊风,0.2%,109.82,44,0.4%,68.1%
526,有一个地方只有我们知道,0.1%,41.88,23,0.3%,47.8%
527,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,32.68,16,0.3%,47.1%
528,新年来啦之大闹除夕,<0.1%,21.34,5,0.9%,8.6%
529,有种你爱我,<0.1%,15.86,10,0.3%,55.3%
530,饥饿游戏3：嘲笑鸟（上）,<0.1%,14.91,26,0.1%,45.7%
531,霍比特人3：五军之战,<0.1%,13.61,29,<0.1%,61.2%
532,爸爸去哪儿,<0.1%,9.94,42,<0.1%,50.0%
533,智取威虎山,<0.1%,9.59,105,<0.1%,100%
534,摩尔庄园3：魔幻列车大冒险,<0.1%,7.04,8,0.1%,47.4%
535,新年行动,<0.1%,4.33,4,0.2%,17.8%
536,奔跑吧！兄弟,<0.1%,3.70,11,<0.1%,57.4%
537,坚不可摧,<0.1%,3.61,55,<0.1%,58.2%
538,天将雄师,28.3%,8210.19,58,23.1%,46.2%
539,澳门风云2,21.6%,6265.75,60,16.7%,62.2%
540,钟馗伏魔：雪妖魔灵,15.8%,4590.14,47,15.5%,53.6%
541,狼图腾,11.2%,3261.13,50,10.0%,52.7%
542,爸爸去哪儿2,10.7%,3096.43,40,15.2%,47.7%
543,冲上云霄,6.6%,1930.81,39,8.8%,47.7%
544,爸爸的假期,4.2%,1235.04,32,7.1%,42.6%
545,熊出没之雪岭熊风,0.5%,163.67,44,0.6%,66.9%
546,有一个地方只有我们知道,0.1%,43.57,23,0.2%,48.9%
547,喜羊羊与灰太狼之羊年喜羊羊,0.1%,31.71,13,0.4%,42.0%
548,霍比特人3：五军之战,<0.1%,17.82,35,<0.1%,52.7%
549,饥饿游戏3：嘲笑鸟（上）,<0.1%,15.60,27,<0.1%,37.0%
550,有种你爱我,<0.1%,13.01,8,0.3%,47.1%
551,新年来啦之大闹除夕,<0.1%,13.00,4,0.7%,6.5%
552,爸爸去哪儿,<0.1%,7.18,30,<0.1%,49.8%
553,智取威虎山,<0.1%,6.20,62,<0.1%,82.1%
554,摩尔庄园3：魔幻列车大冒险,<0.1%,6.10,6,0.1%,34.5%
555,奔跑吧！兄弟,<0.1%,5.01,9,<0.1%,39.1%
556,新年行动,<0.1%,3.95,3,0.1%,12.8%
557,蜡笔总动员,<0.1%,3.25,5,0.1%,15.9%
558,天将雄师,26.2%,7794.85,58,22.1%,46.2%
559,澳门风云2,23.7%,7042.72,65,17.5%,66.9%
560,钟馗伏魔：雪妖魔灵,15.0%,4474.18,47,15.2%,53.5%
561,狼图腾,12.7%,3800.64,55,10.7%,57.7%
562,爸爸去哪儿2,9.4%,2818.81,39,14.3%,45.9%
563,冲上云霄,6.5%,1930.73,40,8.7%,48.8%
564,爸爸的假期,4.3%,1290.31,34,6.5%,44.8%
565,熊出没之雪岭熊风,0.7%,215.74,49,0.7%,68.7%
566,兔侠之青黎传说,0.4%,126.04,15,1.5%,21.5%
567,有一个地方只有我们知道,0.1%,52.02,24,0.3%,45.7%
568,喜羊羊与灰太狼之羊年喜羊羊,0.1%,38.88,14,0.4%,41.0%
569,霍比特人3：五军之战,<0.1%,23.79,40,<0.1%,47.8%
570,饥饿游戏3：嘲笑鸟（上）,<0.1%,22.92,43,<0.1%,58.3%
571,有种你爱我,<0.1%,14.71,8,0.3%,45.5%
572,新年来啦之大闹除夕,<0.1%,8.11,3,0.5%,5.2%
573,智取威虎山,<0.1%,7.74,59,<0.1%,68.6%
574,奔跑吧！兄弟,<0.1%,7.59,14,<0.1%,45.3%
575,爸爸去哪儿,<0.1%,5.55,21,<0.1%,50.1%
576,摩尔庄园3：魔幻列车大冒险,<0.1%,5.51,6,0.1%,40.1%
577,新年行动,<0.1%,4.67,4,0.1%,16.4%
578,澳门风云2,25.9%,7291.87,63,19.0%,61.0%
579,天将雄师,22.6%,6376.10,50,20.8%,40.1%
580,狼图腾,15.8%,4460.83,59,12.0%,59.5%
581,钟馗伏魔：雪妖魔灵,14.6%,4124.47,45,14.7%,50.3%
582,爸爸去哪儿2,8.5%,2401.55,36,13.3%,42.5%
583,冲上云霄,6.1%,1718.11,35,9.0%,41.2%
584,爸爸的假期,4.0%,1131.76,32,5.8%,43.6%
585,熊出没之雪岭熊风,1.0%,290.60,49,1.0%,65.5%
586,兔侠之青黎传说,0.4%,124.79,14,1.5%,21.5%
587,有一个地方只有我们知道,0.2%,57.81,22,0.3%,40.6%
588,喜羊羊与灰太狼之羊年喜羊羊,0.1%,43.66,15,0.5%,38.8%
589,霍比特人3：五军之战,0.1%,29.45,37,0.1%,42.5%
590,饥饿游戏3：嘲笑鸟（上）,<0.1%,21.98,33,<0.1%,47.4%
591,有种你爱我,<0.1%,18.99,10,0.3%,42.4%
592,奔跑吧！兄弟,<0.1%,12.94,18,<0.1%,39.6%
593,智取威虎山,<0.1%,8.49,51,<0.1%,55.9%
594,新年来啦之大闹除夕,<0.1%,7.25,3,0.4%,5.1%
595,摩尔庄园3：魔幻列车大冒险,<0.1%,5.97,6,0.1%,36.9%
596,新年行动,<0.1%,4.71,4,0.1%,15.9%
597,爸爸去哪儿,<0.1%,4.60,21,<0.1%,49.8%
598,澳门风云2,27.8%,7693.04,64,19.9%,61.2%
599,天将雄师,21.6%,5979.14,49,19.8%,41.3%
600,狼图腾,17.4%,4824.93,59,13.4%,58.3%
601,钟馗伏魔：雪妖魔灵,13.5%,3752.37,42,14.4%,48.5%
602,爸爸去哪儿2,7.7%,2135.29,35,12.5%,43.5%
603,冲上云霄,5.3%,1472.18,31,8.8%,38.0%
604,爸爸的假期,3.7%,1041.43,32,5.4%,45.4%
605,熊出没之雪岭熊风,1.2%,340.98,45,1.3%,60.7%
606,兔侠之青黎传说,0.4%,113.37,14,1.4%,21.4%
607,有一个地方只有我们知道,0.2%,68.18,23,0.4%,46.7%
608,喜羊羊与灰太狼之羊年喜羊羊,0.1%,42.75,15,0.5%,40.8%
609,霍比特人3：五军之战,0.1%,30.45,43,<0.1%,44.2%
610,饥饿游戏3：嘲笑鸟（上）,<0.1%,21.61,28,<0.1%,38.0%
611,有种你爱我,<0.1%,16.71,9,0.3%,47.3%
612,奔跑吧！兄弟,<0.1%,12.15,15,0.1%,41.0%
613,智取威虎山,<0.1%,10.87,57,<0.1%,59.3%
614,摩尔庄园3：魔幻列车大冒险,<0.1%,5.75,6,0.1%,35.3%
615,新年来啦之大闹除夕,<0.1%,5.11,3,0.4%,5.2%
616,新年行动,<0.1%,4.57,4,0.1%,16.2%
617,爸爸去哪儿,<0.1%,4.03,21,<0.1%,50.9%
618,澳门风云2,29.1%,7748.79,64,20.7%,59.5%
619,天将雄师,20.5%,5452.56,47,19.1%,40.8%
620,狼图腾,19.2%,5120.41,59,14.6%,56.5%
621,钟馗伏魔：雪妖魔灵,12.7%,3391.67,40,14.1%,46.5%
622,爸爸去哪儿2,7.0%,1872.42,32,12.0%,40.1%
623,冲上云霄,4.9%,1302.90,29,8.5%,36.0%
624,爸爸的假期,3.8%,1009.23,31,5.3%,42.5%
625,熊出没之雪岭熊风,1.3%,356.23,42,1.5%,55.8%
626,兔侠之青黎传说,0.3%,92.32,13,1.3%,19.7%
627,有一个地方只有我们知道,0.2%,72.79,21,0.5%,37.6%
628,喜羊羊与灰太狼之羊年喜羊羊,0.1%,40.29,14,0.6%,37.0%
629,饥饿游戏3：嘲笑鸟（上）,<0.1%,16.83,19,0.1%,25.8%
630,有种你爱我,<0.1%,16.36,9,0.3%,48.5%
631,奔跑吧！兄弟,<0.1%,15.51,16,0.1%,27.7%
632,智取威虎山,<0.1%,11.84,48,<0.1%,55.3%
633,摩尔庄园3：魔幻列车大冒险,<0.1%,5.89,6,0.1%,36.6%
634,深海挑战,<0.1%,5.43,62,<0.1%,45.8%
635,新年来啦之大闹除夕,<0.1%,4.76,3,0.3%,5.3%
636,新年行动,<0.1%,3.99,4,0.1%,15.8%
637,坚不可摧,<0.1%,3.13,27,<0.1%,37.2%
638,澳门风云2,31.8%,7002.93,57,21.4%,52.6%
639,狼图腾,19.4%,4272.68,49,15.4%,47.1%
640,天将雄师,19.2%,4228.89,39,18.7%,35.1%
641,钟馗伏魔：雪妖魔灵,12.2%,2704.05,33,14.0%,39.9%
642,爸爸去哪儿2,6.2%,1368.86,26,11.1%,34.2%
643,冲上云霄,4.7%,1048.89,24,8.4%,31.3%
644,爸爸的假期,3.7%,834.09,27,5.1%,37.6%
645,熊出没之雪岭熊风,1.3%,293.13,34,1.6%,47.2%
646,有一个地方只有我们知道,0.3%,73.58,19,0.6%,34.7%
647,兔侠之青黎传说,0.2%,59.88,9,1.2%,14.0%
648,喜羊羊与灰太狼之羊年喜羊羊,0.1%,28.10,10,0.6%,25.8%
649,奔跑吧！兄弟,<0.1%,15.93,16,0.1%,37.2%
650,有种你爱我,<0.1%,15.19,8,0.3%,40.3%
651,饥饿游戏3：嘲笑鸟（上）,<0.1%,14.75,18,0.1%,28.5%
652,智取威虎山,<0.1%,9.61,42,<0.1%,48.3%
653,摩尔庄园3：魔幻列车大冒险,<0.1%,3.82,4,0.1%,29.2%
654,新年行动,<0.1%,3.77,3,0.1%,12.1%
655,新年来啦之大闹除夕,<0.1%,2.48,2,0.2%,3.8%
656,爸爸去哪儿,<0.1%,2.26,14,<0.1%,35.2%
657,澳门风云2,31.5%,5776.10,47,22.2%,42.9%
658,狼图腾,21.0%,3849.67,43,16.2%,40.9%
659,天将雄师,18.8%,3453.19,33,18.1%,31.3%
660,钟馗伏魔：雪妖魔灵,12.0%,2201.87,28,13.7%,34.8%
661,爸爸去哪儿2,5.6%,1034.07,21,10.6%,29.0%
662,冲上云霄,4.6%,855.01,21,8.1%,28.4%
663,爸爸的假期,3.5%,652.46,22,4.9%,31.5%
664,熊出没之雪岭熊风,1.4%,258.75,27,1.8%,36.5%
665,有一个地方只有我们知道,0.4%,77.54,18,0.8%,30.8%
666,兔侠之青黎传说,0.2%,45.09,8,1.1%,12.5%
667,喜羊羊与灰太狼之羊年喜羊羊,0.1%,24.21,8,0.6%,20.1%
668,有种你爱我,<0.1%,15.59,7,0.4%,36.3%
669,奔跑吧！兄弟,<0.1%,12.85,14,0.1%,32.1%
670,饥饿游戏3：嘲笑鸟（上）,<0.1%,11.85,13,0.1%,22.5%
671,智取威虎山,<0.1%,8.62,36,<0.1%,41.5%
672,甜蜜蜜,<0.1%,4.06,31,<0.1%,51.8%
673,新年行动,<0.1%,3.21,3,0.1%,14.7%
674,摩尔庄园3：魔幻列车大冒险,<0.1%,3.15,3,0.1%,22.9%
675,蜡笔总动员,<0.1%,2.10,4,<0.1%,19.2%
676,新年来啦之大闹除夕,<0.1%,1.52,1,0.2%,2.0%
677,澳门风云2,31.7%,5174.91,42,22.6%,38.5%
678,狼图腾,21.4%,3505.47,38,16.8%,36.1%
679,天将雄师,19.1%,3127.15,31,17.8%,30.2%
680,钟馗伏魔：雪妖魔灵,11.5%,1881.83,24,13.4%,30.2%
681,爸爸去哪儿2,5.0%,828.22,17,10.5%,23.6%
682,冲上云霄,4.4%,721.14,18,7.9%,25.0%
683,爸爸的假期,3.6%,589.33,20,4.7%,28.9%
684,熊出没之雪岭熊风,1.4%,231.80,24,1.9%,32.7%
685,有一个地方只有我们知道,0.4%,79.86,17,0.8%,29.0%
686,超能陆战队,0.3%,49.70,20,<0.1%,15.8%
687,兔侠之青黎传说,0.2%,36.88,7,1.1%,10.8%
688,喜羊羊与灰太狼之羊年喜羊羊,0.1%,20.07,7,0.6%,17.5%
689,智取威虎山,<0.1%,15.34,48,<0.1%,44.4%
690,有种你爱我,<0.1%,14.15,7,0.4%,38.0%
691,饥饿游戏3：嘲笑鸟（上）,<0.1%,12.70,13,0.1%,19.6%
692,奔跑吧！兄弟,<0.1%,11.63,11,0.1%,26.3%
693,甜蜜蜜,<0.1%,3.79,27,<0.1%,31.9%
694,摩尔庄园3：魔幻列车大冒险,<0.1%,3.07,3,0.1%,22.4%
695,新年行动,<0.1%,2.97,3,0.1%,16.1%
696,蜡笔总动员,<0.1%,1.68,4,<0.1%,15.2%
697,澳门风云2,26.2%,4946.79,44,20.0%,41.3%
698,超能陆战队,19.9%,3745.92,31,22.4%,26.6%
699,狼图腾,19.3%,3634.14,44,14.7%,44.2%
700,天将雄师,16.1%,3045.85,38,13.7%,41.8%
701,钟馗伏魔：雪妖魔灵,7.9%,1504.70,25,9.7%,35.2%
702,爸爸去哪儿2,3.4%,648.39,18,7.6%,26.7%
703,冲上云霄,3.0%,578.01,19,5.6%,28.9%
704,爸爸的假期,2.2%,426.51,23,2.6%,37.2%
705,熊出没之雪岭熊风,0.6%,131.11,26,0.9%,37.3%
706,有一个地方只有我们知道,0.3%,66.65,17,0.6%,32.1%
707,有种你爱我,<0.1%,12.86,6,0.4%,30.5%
708,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,12.33,6,0.4%,20.7%
709,智取威虎山,<0.1%,11.63,62,<0.1%,69.7%
710,兔侠之青黎传说,<0.1%,8.25,5,0.3%,7.0%
711,奔跑吧！兄弟,<0.1%,7.37,9,0.1%,35.8%
712,吉星高照2015,<0.1%,5.65,40,<0.1%,--
713,饥饿游戏3：嘲笑鸟（上）,<0.1%,5.47,12,<0.1%,15.0%
714,摩尔庄园3：魔幻列车大冒险,<0.1%,3.68,4,0.1%,30.0%
715,新年行动,<0.1%,3.21,3,0.1%,17.6%
716,通道转兵,<0.1%,1.26,--,<0.1%,--
717,澳门风云2,23.8%,4808.24,43,19.9%,39.2%
718,超能陆战队,23.5%,4746.22,42,20.7%,35.8%
719,狼图腾,19.7%,3980.27,47,14.8%,45.5%
720,天将雄师,15.2%,3077.57,39,13.4%,42.5%
721,钟馗伏魔：雪妖魔灵,6.8%,1373.65,25,9.1%,34.3%
722,爸爸去哪儿2,3.1%,628.11,19,6.9%,28.1%
723,冲上云霄,2.2%,446.23,18,4.6%,28.5%
724,吉星高照2015,1.9%,400.00,18,4.9%,19.8%
725,爸爸的假期,1.8%,369.33,24,2.1%,37.5%
726,熊出没之雪岭熊风,0.8%,163.36,36,0.9%,48.3%
727,有一个地方只有我们知道,0.3%,60.41,16,0.6%,25.9%
728,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,14.00,7,0.4%,21.5%
729,有种你爱我,<0.1%,12.35,6,0.3%,30.2%
730,饥饿游戏3：嘲笑鸟（上）,<0.1%,11.86,27,<0.1%,44.5%
731,兔侠之青黎传说,<0.1%,8.77,6,0.2%,8.4%
732,北京纽约,<0.1%,5.61,--,<0.1%,--
733,奔跑吧！兄弟,<0.1%,5.52,10,<0.1%,37.2%
734,摩尔庄园3：魔幻列车大冒险,<0.1%,3.18,3,0.1%,20.3%
735,新年行动,<0.1%,3.15,2,0.1%,11.4%
736,澳门风云2,29.0%,2847.81,26,20.6%,24.5%
737,狼图腾,18.8%,1847.85,23,15.5%,22.7%
738,天将雄师,17.1%,1681.02,22,13.9%,24.1%
739,超能陆战队,16.7%,1637.94,17,19.1%,15.2%
740,钟馗伏魔：雪妖魔灵,8.0%,792.38,14,9.5%,19.6%
741,冲上云霄,2.7%,272.48,11,4.8%,17.7%
742,吉星高照2015,2.4%,236.52,10,5.2%,11.7%
743,爸爸的假期,1.8%,185.82,13,2.0%,20.5%
744,爸爸去哪儿2,1.6%,166.38,6,5.9%,9.4%
745,熊出没之雪岭熊风,0.5%,50.33,13,0.8%,19.3%
746,有一个地方只有我们知道,0.3%,35.34,10,0.6%,16.9%
747,有种你爱我,<0.1%,9.37,4,0.4%,19.1%
748,饥饿游戏3：嘲笑鸟（上）,<0.1%,6.63,17,<0.1%,23.9%
749,大喜临门,<0.1%,3.75,--,<0.1%,--
750,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,2.99,2,0.3%,8.3%
751,奔跑吧！兄弟,<0.1%,2.74,6,<0.1%,17.7%
752,新年行动,<0.1%,2.28,2,0.1%,9.7%
753,兔侠之青黎传说,<0.1%,2.13,2,0.1%,2.8%
754,摩尔庄园3：魔幻列车大冒险,<0.1%,1.04,1,0.1%,6.7%
755,澳门风云2,28.3%,2602.47,24,21.0%,22.7%
756,狼图腾,19.6%,1801.40,22,16.0%,21.8%
757,超能陆战队,18.9%,1741.16,19,18.6%,17.3%
758,天将雄师,15.6%,1430.96,19,14.2%,20.7%
759,钟馗伏魔：雪妖魔灵,8.0%,741.21,14,9.6%,19.7%
760,冲上云霄,2.7%,249.77,10,5.0%,16.6%
761,吉星高照2015,2.0%,192.05,9,5.2%,10.6%
762,爸爸的假期,1.5%,143.16,11,1.9%,18.1%
763,爸爸去哪儿2,1.5%,142.80,6,5.3%,9.5%
764,熊出没之雪岭熊风,0.5%,47.58,13,0.7%,19.5%
765,有一个地方只有我们知道,0.4%,38.56,10,0.7%,18.3%
766,有种你爱我,<0.1%,8.74,4,0.4%,18.2%
767,北京纽约,<0.1%,5.10,163,<0.1%,55.3%
768,饥饿游戏3：嘲笑鸟（上）,<0.1%,3.32,7,<0.1%,11.8%
769,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,3.24,3,0.3%,12.2%
770,将错就错,<0.1%,2.83,114,<0.1%,58.9%
771,新年行动,<0.1%,2.54,2,0.2%,10.7%
772,兔侠之青黎传说,<0.1%,1.12,1,0.1%,1.6%
773,甜蜜蜜,<0.1%,1.04,6,<0.1%,10.0%
774,澳门风云2,27.2%,2345.90,21,21.2%,19.8%
775,超能陆战队,21.6%,1868.80,21,18.4%,19.4%
776,狼图腾,18.9%,1631.70,20,16.3%,20.0%
777,天将雄师,15.2%,1309.91,17,14.3%,18.5%
778,钟馗伏魔：雪妖魔灵,7.6%,660.90,12,9.7%,16.9%
779,冲上云霄,2.7%,233.30,9,5.1%,14.7%
780,吉星高照2015,1.9%,171.71,8,5.0%,9.4%
781,爸爸的假期,1.7%,147.58,11,1.8%,18.7%
782,爸爸去哪儿2,1.4%,124.23,6,5.1%,9.6%
783,熊出没之雪岭熊风,0.5%,44.16,13,0.7%,19.7%
784,有一个地方只有我们知道,0.4%,35.25,9,0.7%,16.0%
785,有种你爱我,0.1%,9.76,4,0.5%,18.9%
786,将错就错,<0.1%,7.48,40,<0.1%,22.7%
787,饥饿游戏3：嘲笑鸟（上）,<0.1%,3.34,6,<0.1%,10.9%
788,北京纽约,<0.1%,3.05,100,<0.1%,74.2%
789,我只要我们在一起,<0.1%,2.43,42,<0.1%,100%
790,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,2.27,2,0.2%,7.7%
791,新年行动,<0.1%,1.80,1,0.2%,5.3%
792,深海挑战,<0.1%,1.62,17,<0.1%,15.5%
793,帕丁顿熊,<0.1%,1.43,10,<0.1%,--
794,澳门风云2,24.4%,2627.16,27,18.0%,25.1%
795,超能陆战队,18.4%,1980.19,27,14.3%,24.7%
796,狼图腾,16.6%,1787.53,25,13.5%,24.5%
797,天将雄师,12.6%,1357.72,21,11.3%,22.8%
798,将错就错,7.6%,821.09,18,10.0%,25.8%
799,帕丁顿熊,7.3%,786.38,13,14.7%,14.2%
800,钟馗伏魔：雪妖魔灵,5.4%,582.13,15,6.6%,21.3%
801,吉星高照2015,1.2%,132.78,13,2.2%,14.9%
802,木星上行,1.2%,130.91,32,<0.1%,25.2%
803,冲上云霄,1.1%,126.12,11,2.2%,18.5%
804,爸爸的假期,1.1%,126.04,24,0.5%,39.9%
805,大喜临门,0.9%,101.79,12,1.9%,16.2%
806,爸爸去哪儿2,0.5%,58.84,8,1.6%,13.8%
807,熊出没之雪岭熊风,0.4%,44.31,20,0.4%,31.0%
808,全能囧爸,0.2%,24.68,3,1.3%,7.2%
809,有一个地方只有我们知道,0.2%,22.99,12,0.3%,23.4%
810,有种你爱我,<0.1%,3.35,4,0.1%,36.2%
811,洛克王国3圣龙的守护,<0.1%,1.61,--,<0.1%,<0.1%
812,北京纽约,<0.1%,1.28,5,<0.1%,9.5%
813,新年行动,<0.1%,1.22,3,<0.1%,16.4%
814,木星上行,33.9%,4176.66,33,24.6%,25.8%
815,超能陆战队,16.9%,2083.26,38,10.9%,39.7%
816,澳门风云2,14.3%,1768.46,27,12.6%,28.7%
817,狼图腾,12.6%,1551.10,31,9.1%,34.4%
818,帕丁顿熊,6.1%,753.38,17,10.7%,20.6%
819,天将雄师,5.5%,681.53,20,6.0%,25.5%
820,将错就错,3.2%,402.60,12,7.3%,18.7%
821,北京纽约,3.0%,374.73,9,8.9%,12.1%
822,钟馗伏魔：雪妖魔灵,1.4%,175.86,12,2.5%,18.1%
823,大喜临门,0.8%,101.33,8,2.9%,11.9%
824,吉星高照2015,0.5%,65.07,13,1.0%,14.3%
825,冲上云霄,0.3%,43.54,11,0.7%,20.4%
826,爸爸的假期,0.3%,41.04,26,0.1%,41.2%
827,熊出没之雪岭熊风,0.1%,23.17,17,0.2%,27.2%
828,爸爸去哪儿2,0.1%,19.04,8,0.5%,15.1%
829,有一个地方只有我们知道,0.1%,12.66,14,0.1%,29.9%
830,全能囧爸,<0.1%,10.49,3,0.7%,9.4%
831,美丽笨女人,<0.1%,9.32,3,0.4%,4.0%
832,有种你爱我,<0.1%,1.76,5,<0.1%,36.6%
833,寻找声音的耳朵,<0.1%,1.71,--,<0.1%,--
834,木星上行,29.0%,5763.25,44,24.0%,34.1%
835,超能陆战队,24.4%,4852.18,67,13.9%,66.7%
836,澳门风云2,13.1%,2607.62,38,12.7%,40.7%
837,狼图腾,11.6%,2310.38,45,9.2%,49.4%
838,帕丁顿熊,8.4%,1671.44,35,11.1%,42.6%
839,天将雄师,4.7%,947.03,29,5.6%,36.9%
840,将错就错,2.8%,560.14,17,6.9%,26.8%
841,北京纽约,2.1%,428.42,12,7.5%,16.3%
842,钟馗伏魔：雪妖魔灵,1.2%,239.74,17,2.2%,25.5%
843,大喜临门,0.6%,126.43,11,2.3%,17.3%
844,吉星高照2015,0.4%,94.23,21,0.9%,22.8%
845,冲上云霄,0.2%,56.38,15,0.6%,27.3%
846,熊出没之雪岭熊风,0.2%,46.43,22,0.3%,31.8%
847,爸爸去哪儿2,0.2%,40.83,13,0.6%,24.7%
848,有一个地方只有我们知道,<0.1%,13.81,17,0.1%,34.8%
849,爸爸的假期,<0.1%,13.01,13,0.1%,22.6%
850,全能囧爸,<0.1%,11.19,3,0.5%,9.1%
851,美丽笨女人,<0.1%,9.70,4,0.3%,5.7%
852,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,2.85,4,0.1%,17.0%
853,兔侠之青黎传说,<0.1%,1.59,5,<0.1%,16.1%
854,超能陆战队,26.4%,4626.93,58,15.8%,54.9%
855,木星上行,25.5%,4468.14,36,23.3%,28.4%
856,澳门风云2,13.9%,2436.87,36,12.8%,38.9%
857,狼图腾,11.7%,2057.01,40,9.5%,43.6%
858,帕丁顿熊,8.5%,1501.41,31,11.2%,37.8%
859,天将雄师,4.8%,843.34,27,5.4%,34.4%
860,将错就错,2.9%,516.15,17,6.7%,27.4%
861,北京纽约,2.3%,404.82,13,6.7%,17.7%
862,钟馗伏魔：雪妖魔灵,1.2%,216.47,16,2.1%,24.3%
863,大喜临门,0.7%,131.10,13,2.1%,20.7%
864,吉星高照2015,0.4%,78.02,18,0.9%,19.3%
865,熊出没之雪岭熊风,0.2%,50.06,23,0.4%,33.1%
866,冲上云霄,0.2%,43.43,13,0.5%,24.3%
867,爸爸去哪儿2,0.2%,38.02,13,0.5%,23.9%
868,有一个地方只有我们知道,<0.1%,12.87,14,0.1%,29.9%
869,爸爸的假期,<0.1%,12.14,11,0.1%,17.1%
870,全能囧爸,<0.1%,9.26,3,0.5%,10.2%
871,美丽笨女人,<0.1%,8.61,5,0.3%,7.7%
872,喜羊羊与灰太狼之羊年喜羊羊,<0.1%,2.83,5,0.1%,19.9%
873,有种你爱我,<0.1%,1.89,6,<0.1%,52.5%
874,木星上行,26.7%,1546.17,13,23.7%,10.4%
875,超能陆战队,22.1%,1281.45,19,14.9%,17.5%
